Time_ms	Alt_m	Alt_ft	Lat	Lon	GndSpd_ms	Heading_deg	Bearing_deg	Phase	MotorPos	PID_P	PID_I	LoiterStep
1016293	-0.75	-2.5	42.7038489	-77.1917584	0.028	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016343	-0.82	-2.7	42.7038489	-77.1917584	0.028	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016393	-0.82	-2.7	42.7038489	-77.1917583	0.009	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016443	-0.74	-2.4	42.7038489	-77.1917583	0.009	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016493	-0.74	-2.4	42.7038489	-77.1917584	0.011	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016543	-0.78	-2.6	42.7038489	-77.1917584	0.011	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016593	-0.68	-2.2	42.7038489	-77.1917584	0.033	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016643	-0.80	-2.6	42.7038489	-77.1917584	0.033	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016693	-0.67	-2.2	42.7038489	-77.1917584	0.031	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016743	-0.66	-2.2	42.7038489	-77.1917584	0.031	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016793	-0.69	-2.3	42.7038489	-77.1917583	0.013	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016843	-0.71	-2.3	42.7038489	-77.1917583	0.013	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016893	-0.69	-2.3	42.7038489	-77.1917583	0.030	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016943	-0.74	-2.4	42.7038489	-77.1917583	0.030	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1016993	-0.77	-2.5	42.7038489	-77.1917584	0.025	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017043	-0.77	-2.5	42.7038489	-77.1917584	0.025	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017093	-0.64	-2.1	42.7038489	-77.1917583	0.043	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017143	-0.70	-2.3	42.7038489	-77.1917583	0.043	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017193	-0.78	-2.6	42.7038489	-77.1917583	0.043	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017243	-0.74	-2.4	42.7038490	-77.1917584	0.032	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017293	-0.72	-2.4	42.7038490	-77.1917584	0.032	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017343	-0.73	-2.4	42.7038490	-77.1917583	0.009	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017393	-0.68	-2.2	42.7038490	-77.1917583	0.009	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017443	-0.72	-2.4	42.7038490	-77.1917583	0.003	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017493	-0.69	-2.3	42.7038490	-77.1917583	0.003	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017543	-0.69	-2.3	42.7038490	-77.1917584	0.035	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017593	-0.75	-2.4	42.7038490	-77.1917584	0.035	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017643	-0.62	-2.0	42.7038490	-77.1917583	0.032	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017693	-0.59	-1.9	42.7038490	-77.1917583	0.032	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017743	-0.57	-1.9	42.7038490	-77.1917583	0.023	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017793	-0.57	-1.9	42.7038490	-77.1917583	0.023	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017843	-0.72	-2.4	42.7038490	-77.1917584	0.007	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017893	-0.68	-2.2	42.7038490	-77.1917584	0.007	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017943	-0.73	-2.4	42.7038490	-77.1917584	0.031	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1017993	-0.71	-2.3	42.7038490	-77.1917584	0.031	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018043	-0.78	-2.6	42.7038490	-77.1917584	0.037	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018093	-0.80	-2.6	42.7038490	-77.1917584	0.037	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018143	-0.73	-2.4	42.7038490	-77.1917584	0.021	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018193	-0.77	-2.5	42.7038490	-77.1917584	0.021	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018243	-0.71	-2.3	42.7038490	-77.1917584	0.021	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018293	-0.61	-2.0	42.7038491	-77.1917584	0.063	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018343	-0.66	-2.2	42.7038491	-77.1917584	0.063	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018393	-0.70	-2.3	42.7038491	-77.1917584	0.035	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018443	-0.70	-2.3	42.7038491	-77.1917584	0.035	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018493	-0.71	-2.3	42.7038491	-77.1917584	0.021	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018543	-0.75	-2.4	42.7038491	-77.1917584	0.021	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018593	-0.81	-2.7	42.7038491	-77.1917584	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
1018643	-0.76	-2.5	42.7038491	-77.1917584	0.014	4.5	143.3	HELD	0.5000	0.00000	0.00000	-
